price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issueDate,duration,stationID,regionID,solarSystemID,jumps,
3.88,200.0,34,32767,6721807444,200,1,False,2024-02-22 19:13:09.000,90,60012271,10000067,30005204,4,
3.89,3836229.0,34,32767,6718561595,3836229,1,False,2024-02-18 10:37:15.000,90,60007918,10000067,30005246,10,
3.9,133623827.0,34,32767,6686563509,137492028,1,False,2024-01-08 10:38:47.000,90,60010003,10000067,30005254,13,
3.9,130295.0,34,32767,6710466778,140295,1,False,2024-02-07 20:48:15.000,90,60007720,10000067,30005244,9,
3.9,782776.0,34,32767,6717036537,782776,1,False,2024-02-16 14:23:32.000,90,60008239,10000067,30005276,14,
3.9,105762148.0,34,32767,6719466445,105762148,1,False,2024-02-19 13:06:19.000,90,60010006,10000067,30005253,13,
3.91,29530.0,34,32767,6709730536,29530,1,False,2024-02-06 20:37:36.000,90,60006703,10000067,30005254,13,
3.99,4439135.0,34,32767,6710476090,5790200,1,False,2024-02-07 21:02:05.000,90,1043255211330,10000067,30005267,9,
4.0,5895198.0,34,32767,6679510901,6773448,1,False,2023-12-31 06:05:37.000,90,60007198,10000067,30005214,4,
4.0,4552590.0,34,32767,6693738307,10000000,1,False,2024-01-17 09:51:12.000,90,60007885,10000067,30005222,5,
4.0,298069836.0,34,32767,6676600737,303779275,1,False,2024-01-19 01:59:57.000,90,60001054,10000067,30005291,7,
4.0,606162.0,34,32767,6708369798,804418,1,False,2024-02-04 23:10:56.000,90,60007921,10000067,30005243,8,
4.0,112698501.0,34,32767,6714985004,112701501,1,False,2024-02-13 15:05:08.000,30,60012919,10000067,30005205,3,
4.0,1686089.0,34,32767,6715917814,1686089,1,False,2024-02-14 21:32:54.000,14,60012262,10000067,30005206,3,
4.06,11146670.0,34,32767,6720520225,11146670,1,False,2024-02-20 21:42:42.000,90,60012265,10000067,30005198,0,
4.11,2643040.0,34,32767,6663929773,3446433,1,False,2023-12-12 19:27:52.000,90,60012265,10000067,30005198,0,
4.12,14772663.0,34,32767,6673518749,14773163,1,False,2023-12-24 03:17:51.000,90,60006382,10000067,30005194,5,
